bhag,header,section_number,text
भाग–१,,,प्रारजम्भक
भाग–१,१.,,संविधान मूल कानूनः
भाग–१,१.,(१),यो संविधान नेपालको मूल कानून िो । यस संविधानसँग  बाजिने कानून बाजिएको िदसम्म अमान्त्य िुनेछ ।
भाग–१,१.,(२),यस संविधानको पालना गनुव प्रत्येक व्यजक्तको किवव्य िुनेछ ।
भाग–१,२.,,सािवभौमसत्ता  र राजकीयसत्ताः  नेपालको सािवभौमसत्ता  र राजकीयसत्ता  नेपाली जनिामा  मनविि रिेको छ । यसको प्रयोग यस संविधानमा व्यिस्था भए बमोजजम िुनेछ ।
भाग–१,३.,,"रािः बिुजािीय, बिुभावर्क, बिुधाममवक, बिुसांस्कृमिक विशेर्िायुक्त, भौगोमलक विविधिामा   रिेका समान आकांक्षा र नेपालको राविय स्ििन्त्त्रिा , भौगोमलक अखण्डिा , राविय विि  िथा समृवद्धप्रमि आस्थािान रिी एकिाको सूत्रमा आबद्ध सबै नेपाली जनिा समविमा राि  िो ।"
भाग–१,४.,,नेपाल राज्यः
भाग–१,४.,(१),"नेपाल स्ििन्त्त्र , अविभाज्य , सािवभौमसत्तासम्पन्न , धमवमनरपेक्ष, समािेशी,  लोकिन्त्त्रात्मक , समाजिाद उन्त्मुख, संघीय लोकिाजन्त्त्रक  गणिन्त्त्रात्मक  राज्य िो ।  स्पिीकरणः  यस धाराको प्रयोजनको  लामग “धमवमनरपेक्ष” भन्नाले सनािनदेजख चमलआएको   धमव संस्कृमिको संरक्षण लगायि धाममवक , सांस्कृमिक स्ििन्त्त्रिा सम्िनु पछव ।"
भाग–१,४.,(२),"नेपालको क्षेत्र देिाय बमोजजम िुनेछः–  (क) यो संविधान प्रारम्भ िुँदाका बखिको क्षेत्र, र  (ख) यो संविधान प्रारम्भ भएपमछ प्राप्त िुने क्षेत्र ।"
भाग–१,५.,,राविय वििः
भाग–१,५.,(१),"नेपालको स्ििन्त्त्रिा , सािवभौमसत्ता , भौगोमलक अखण्डिा , रावियिा ,  स्िाधीनिा , स्िामभमान , नेपालीको िक वििको रक्षा, सीमानाको  सुरक्षा, आमथवक समुन्नमि र  समृवद्ध नेपालको राविय वििका आधारभूि विर्य िुनेछन् ।"
भाग–१,५.,(२),राि विि प्रमिकूलको आचरण र कायव संघीय कानून बमोजजम दण्डनीय  िुनेछ ।
भाग–१,६.,,रािभार्ाः नेपालमा बोमलने सबै मािृभार्ािरू रािभार्ा िुन् ।
भाग–१,७.,,सरकारी कामकाजको  भार्ाः
भाग–१,७.,(१),देिनागरी मलवपमा लेजखने नेपाली भार्ा नेपालको  सरकारी कामकाजको  भार्ा िुनेछ ।  www.lawcommission.gov.np   4
भाग–१,७.,(२),नेपाली भार्ाका अमिररक्त प्रदेशले आफ्नो प्रदेशमभत्र बिुसंख्यक जनिाले  बोल्ने एक िा एकभन्त्दा बढी अन्त्य रािभार्ालाई  प्रदेश कानून बमोजजम प्रदेशको सरकारी  कामकाजको  भार्ा मनधावरण गनव सक्नेछ ।
भाग–१,७.,(३),भार्ा सम्बन्त्धी अन्त्य कुरा भार्ा आयोगको मसफाररसमा  नेपाल सरकारले  मनणवय गरे बमोजजम िुनेछ ।
भाग–१,८.,,राविय िण्डाः
भाग–१,८.,(१),"मसमिक रंगको भुइँ र गाढा नीलो रंगको वकनारा भएको दुई मत्रकोण  अमलकमि जोमडएको , मामथल्लो भागमा खुपे चन्त्रको बीचमा सोह्रमा आठ कोण देजखने सेिो  आकार र िल्लो भागमा बाह्र कोणयुक्त सूयवको सेिो आकार अंवकि भएको िण्डा  नेपालको राविय िण्डा िो ।"
भाग–१,८.,(२),"नेपालको राविय िण्डा, राविय िण्डा बनाउने िरीका र ित्सम्बन्त्धी  अन्त्य  वििरण अनुसूची–१ मा उल्लेख भए बमोजजम  िुनेछ ।"
भाग–१,९.,,राविय गान इत्याददः
भाग–१,९.,(१),नेपालको राविय गान अनुसूची–२ मा उल्लेख भए बमोजजम    िुनेछ ।
भाग–१,९.,(२),नेपालको मनशान छाप अनुसूची–३ मा उल्लेख भए बमोजजम  िुनेछ ।
भाग–१,९.,(३),"नेपालको राविय पूmल लालीगुराँस, राविय रंग मसमिक , राविय जनािर गाई र  राविय पक्षी डाँफे िुनेछ ।       www.lawcommission.gov.np   5"
भाग–२,,,नागररकिा
भाग–२,१०.,,नागररकिाबाट  िजिि नगररनेः
भाग–२,१०.,(१),कुनै पमन नेपाली नागररकलाई  नागररकिा  प्राप्त गने  िकबाट िजिि गररने छैन ।
भाग–२,१०.,(२),नेपालमा प्रादेजशक पविचान सवििको एकल संघीय नागररकिाको  व्यिस्था  गररएको छ ।
भाग–२,११.,,नेपालको नागररक ठिनेः
भाग–२,११.,(१),यो संविधान प्रारम्भ िुँदाका बखि नेपालको नागररकिा   प्राप्त गरेका र यस भाग बमोजजम नागररकिा  प्राप्त गनव योग्य व्यजक्तिरू नेपालको नागररक   िुनेछन् ।
भाग–२,११.,(२),"यो संविधान प्रारम्भ िुँदाका बखि नेपालमा स्थायी बसोिास भएको देिायको  व्यजक्त िंशजको आधारमा नेपालको नागररक ठिनेछः–  (क) यो संविधान प्रारम्भ िुनुभन्त्दा अजघ िंशजको आधारमा नेपालको  नागररकिा  प्राप्त गरेको व्यजक्त,  (ख) कुनै व्यजक्तको जन्त्म िुँदाका बखि मनजको बाबु िा आमा नेपालको  नागररक रिेछ भने त्यस्िो व्यजक्त ।"
भाग–२,११.,(३),यो संविधान प्रारम्भ िुनुभन्त्दा अजघ जन्त्मको आधारमा नेपालको नागररकिा   प्राप्त गरेको नागररकको  सन्त्िानले बाबु र आमा दुिै नेपालको नागररक रिेछन् भने मनज  बामलग भएपमछ िंशजको आधारमा नेपालको नागररकिा प्राप्त गनेछ ।
भाग–२,११.,(४),नेपालमभत्र फेला परेको वपिृत्ि र मािृत्िको ठेगान नभएको प्रत्येक नाबालक  मनजको बाबु िा आमा फेला नपरेसम्म िंशजको आधारमा नेपालको नागररक ठिनेछ ।
भाग–२,११.,(५),नेपालको नागररक आमाबाट नेपालमा जन्त्म भई नेपालमा नै बसोबास गरेको  र बाबुको पविचान िुन नसकेको व्यजक्तलाई  िंशजको आधारमा नेपालको नागररकिा   प्रदान   गररनेछ ।  िर बाबु विदेशी नागररक भएको ठिरेमा त्यस्िो व्यजक्तको नागररकिा  संघीय  कानून बमोजजम अंगीकृि नागररकिामा  पररणि िुनेछ ।
भाग–२,११.,(६),नेपाली नागररकसँग िैिाविक सम्बन्त्ध कायम गरेकी विदेशी मविलाले चािेमा  संघीय कानून बमोजजम नेपालको अंगीकृि नागररकिा  मलन सक्नेछ ।
